bank_txn_id,amount,cluster
T0001,89240,Alpha
T0002,10244,Alpha
T0003,68074,Alpha
T0004,63540,Alpha
T0005,69160,Alpha
T0006,16394,Alpha
T0007,81288,Alpha
T0008,20573,Alpha
T0009,18081,Alpha
T0010,6833,Alpha
T0011,56422,Alpha
T0012,35262,Alpha
T0013,24030,Alpha
T0014,11284,Alpha
T0015,11017,Alpha
T0016,28796,Alpha
T0017,25977,Alpha
T0018,89503,Alpha
T0019,84126,Alpha
T0020,38995,Alpha
T0021,16453,Alpha
T0022,74551,Alpha
T0023,49853,Alpha
T0024,34099,Alpha
T0025,11942,Alpha
T0026,114107,Bravo
T0027,263074,Bravo
T0028,236212,Bravo
T0029,81641,Bravo
T0030,39653,Bravo
T0031,106856,Bravo
T0032,398636,Bravo
T0033,9174,Bravo
T0034,270705,Bravo
T0035,186212,Bravo
T0036,352550,Bravo
T0037,332235,Bravo
T0038,187238,Bravo
T0039,281419,Bravo
T0040,271499,Bravo
T0041,287224,Bravo
T0042,244209,Bravo
T0043,430250,Bravo
T0044,94989,Bravo
T0045,396580,Bravo
T0046,187762,Bravo
T0047,209250,Bravo
T0048,43540,Charlie
T0049,5765,Charlie
T0050,22382,Charlie
T0051,70307,Charlie
T0052,62038,Charlie
T0053,77616,Charlie
T0054,21667,Charlie
T0055,84280,Charlie
T0056,21355,Charlie
T0057,57747,Charlie
T0058,38385,Charlie
T0059,64500,Charlie
T0060,53080,Charlie
T0061,29603,Charlie
T0062,20635,Charlie
T0063,69921,Charlie
T0064,50597,Charlie
T0065,87799,Charlie
T0066,46108,Charlie
T0067,43333,Charlie
T0068,21125,Delta
T0069,34019,Delta
T0070,51055,Delta
T0071,14691,Delta
T0072,46616,Delta
T0073,36043,Delta
T0074,21120,Delta
T0075,59704,Delta
T0076,44412,Delta
T0077,68058,Delta
T0078,73186,Delta
T0079,67274,Delta
T0080,11999,Delta
T0081,65025,Delta
T0082,68739,Delta
T0083,5565,Delta
T0084,24910,Delta
T0085,34352,Delta
T0086,134386,Echo
T0087,97505,Echo
T0088,256466,Echo
T0089,433161,Echo
T0090,68925,Echo
T0091,370665,Echo
T0092,488833,Echo
T0093,75828,Echo
T0094,150989,Echo
T0095,455205,Echo
T0096,6390,Echo
T0097,107103,Echo
T0098,442674,Echo
T0099,375535,Echo
T0100,37952,Echo
T0101,348961,Echo
T0102,193089,Echo
T0103,29472,Echo
T0104,161190,Echo
T0105,169494,Echo
T0106,75262,Foxtrot
T0107,50445,Foxtrot
T0108,70488,Foxtrot
T0109,20193,Foxtrot
T0110,11911,Foxtrot
T0111,49588,Foxtrot
T0112,43658,Foxtrot
T0113,31657,Foxtrot
T0114,41203,Foxtrot
T0115,46362,Foxtrot
T0116,34849,Foxtrot
T0117,56899,Foxtrot
T0118,64623,Foxtrot
T0119,69735,Foxtrot
T0120,69078,Foxtrot
T0121,45442,Foxtrot
T0122,69328,Foxtrot
T0123,25499,Foxtrot
T0124,45070,Foxtrot
T0125,23082,Foxtrot
T0126,80785,Foxtrot
T0127,13943,Foxtrot
T0128,45213,Foxtrot
T0129,89615,Foxtrot
T0130,18324,Foxtrot
T0131,39584,Ghost
T0132,23826,Ghost
T0133,43751,Ghost
T0134,20439,Ghost
T0135,87411,Ghost
T0136,49569,Ghost
T0137,83558,Ghost
T0138,65730,Ghost
T0139,28060,Ghost
T0140,59253,Ghost
T0141,41092,Ghost
T0142,69581,Ghost
T0143,10128,Ghost
T0144,15807,Ghost
T0145,50562,Ghost
T0146,5452,Ghost
T0147,61527,Ghost
T0148,19500,Ghost
T0149,58546,Ghost
T0150,79423,Ghost
